query,method,lambda,K,Precision,Recall,NDCG,Fairness,ExposureDisparity
kopi khas daerah,BM25,,10,1.0,0.02610966057441253,1.0,1.0,0.4543559338088345
kopi khas daerah,Hybrid,0.1,10,1.0,0.02610966057441253,0.9915351987625142,1.0,0.4543559338088345
kopi khas daerah,BM25,,20,1.0,0.05221932114882506,1.0,1.0,0.3520134190961756
kopi khas daerah,Hybrid,0.1,20,1.0,0.05221932114882506,0.9899751441477777,1.0,0.3520134190961756
kopi khas daerah,BM25,,30,1.0,0.0783289817232376,1.0,1.0,0.3053860347280295
kopi khas daerah,Hybrid,0.1,30,1.0,0.0783289817232376,0.9912653101744772,1.0,0.3053860347280295
kopi khas daerah,BM25,,40,1.0,0.10443864229765012,1.0,0.975,0.0875047151382353
kopi khas daerah,Hybrid,0.1,40,1.0,0.10443864229765012,0.99203643069913,1.0,0.27727581726633954
kopi khas daerah,BM25,,50,1.0,0.13054830287206268,1.0,0.98,0.06734278982733563
kopi khas daerah,Hybrid,0.1,50,1.0,0.13054830287206268,0.9925748976008478,1.0,0.257954654037349
kopi instan sachet,BM25,,10,1.0,0.07194244604316546,1.0,0.3,0.06076587845306164
kopi instan sachet,Hybrid,0.1,10,1.0,0.07194244604316546,0.9924789566163632,0.4,0.041829068132306135
kopi instan sachet,BM25,,20,1.0,0.14388489208633093,1.0,0.45,0.08701746239446184
kopi instan sachet,Hybrid,0.1,20,1.0,0.14388489208633093,0.9889412364745079,0.55,0.03537530964342972
kopi instan sachet,BM25,,30,1.0,0.2158273381294964,1.0,0.5666666666666667,0.10329019937840034
kopi instan sachet,Hybrid,0.1,30,0.9333333333333333,0.2014388489208633,0.9885826512821907,0.5666666666666667,0.0288685547266489
kopi instan sachet,BM25,,40,1.0,0.28776978417266186,1.0,0.65,0.11472752751468493
kopi instan sachet,Hybrid,0.1,40,0.775,0.22302158273381295,0.9883921377739474,0.575,0.024723714721871903
kopi instan sachet,BM25,,50,1.0,0.3597122302158273,1.0,0.7,0.11777080554369931
kopi instan sachet,Hybrid,0.1,50,0.7,0.2517985611510791,0.9864775828057638,0.52,0.002714172322509978
baju batik pria,BM25,,10,1.0,0.007122507122507123,1.0,1.0,0.4543559338088345
baju batik pria,Hybrid,0.1,10,1.0,0.007122507122507123,0.9937264561453527,1.0,0.4543559338088345
baju batik pria,BM25,,20,1.0,0.014245014245014245,1.0,0.95,0.11810626581899389
