applink;atc_button_cta;badges;count_review;count_sold;department_id;discounted_price;gold_merchant;gtm_item_name;image_url_desktop;image_url_mobile;is_official;is_topads;labels;name;parent_id;price;product_id;rating_average;shop_applink;shop_id;shop_location;shop_url_desktop;shop_url_mobile;source_module;stock;url_desktop;url_mobile;warehouse_id;free_ongkir.is_active
tokopedia://product/14742121470;;"[{""image_url"": ""https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/official_store/badge_os.png~tplv-zr7vqa5nfb-image.image"", ""title"": ""Vablo.id""}]";9545;35011.0;997;Rp199.990;TRUE;/discovery/clp_rumah tangga_984 - category_intermediary - #POSITION - nonlogin - product_card_revamp - - non topads - Rekomendasi_untukmu -  - #MEGA_TAB_VALUE;https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2024/8/8/897718a1-8b9e-4a24-9528-cdaaedc6d95e.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=67a35ccb&x-expires=1765783379&x-signature=j1h2QJa7ZJWnRzGyKUsC3haZTGY%3D&x-signature-webp=1DXGxsxAebKhdUHQMOQW3Jpwi8Q%3D;https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2024/8/8/897718a1-8b9e-4a24-9528-cdaaedc6d95e.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=67a35ccb&x-expires=1765783379&x-signature=j1h2QJa7ZJWnRzGyKUsC3haZTGY%3D&x-signature-webp=1DXGxsxAebKhdUHQMOQW3Jpwi8Q%3D;TRUE;FALSE;"[{""position"": ""ri_product_credibility"", ""title"": ""10rb+ terjual"", ""type"": """", ""url"": """"}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia-static.net/tos-alisg-i-zxty12jeln-sg/1a1a9cd24c9b5caae634820d21c316fd.png~tplv-zxty12jeln-image.image""}, {""position"": ""ri_ribbon"", ""title"": ""79%"", ""type"": ""red"", ""url"": """"}]";PROMO bantal Vablo memory foam - bantal hotel - Wool Knitting - memory foam micro;0;Rp41.999;14742121470;4.9;tokopedia://shop/9515064;9515064;Kab. Tangerang;https://www.tokopedia.com/vabloid;https://www.tokopedia.com/vabloid;rec_discovery_clp_rumah_tangga_984_outer_flow;37442;https://www.tokopedia.com/vabloid/promo-bantal-vablo-memory-foam-bantal-hotel-wool-knitting-memory-foam-micro;https://www.tokopedia.com/vabloid/promo-bantal-vablo-memory-foam-bantal-hotel-wool-knitting-memory-foam-micro;9631986;TRUE
tokopedia://product/102383520505;;"[{""image_url"": ""https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/official_store/badge_os.png~tplv-zr7vqa5nfb-image.image"", ""title"": ""Morning Whistle""}]";12795;56488.0;1002;Rp109.900;TRUE;/discovery/clp_rumah tangga_984 - category_intermediary - #POSITION - nonlogin - product_card_revamp - - non topads - Rekomendasi_untukmu -  - #MEGA_TAB_VALUE;https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/8584fe8145334ae58b887e7eb5903f30~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=67a35ccb&x-expires=1765783379&x-signature=quBpag8KjATgVMSevHaMozGNAWM%3D&x-signature-webp=IBZ%2BkWiGh3uxXmmV085MtXhb7iQ%3D;https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/8584fe8145334ae58b887e7eb5903f30~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=67a35ccb&x-expires=1765783379&x-signature=quBpag8KjATgVMSevHaMozGNAWM%3D&x-signature-webp=IBZ%2BkWiGh3uxXmmV085MtXhb7iQ%3D;TRUE;FALSE;"[{""position"": ""ri_product_credibility"", ""title"": ""50rb+ terjual"", ""type"": """", ""url"": """"}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia-static.net/tos-alisg-i-zxty12jeln-sg/1a1a9cd24c9b5caae634820d21c316fd.png~tplv-zxty12jeln-image.image""}, {""position"": ""ri_ribbon"", ""title"": ""27%"", ""type"": ""red"", ""url"": """"}]";Handuk Morning Whistle Bamboo Towel - Sunny - 70×135cm / 50 x 100cm / 34 x 80cm / Handuk Travel / Handuk Olahraga / Handuk Dewasa Serap Air / Handuk Dewasa Besar / Handuk Tebal Premium;7779016203;Rp79.900;1,02E+11;4.9;tokopedia://shop/15200057;15200057;Kota Tangerang;https://www.tokopedia.com/morningwhistleofficial;https://www.tokopedia.com/morningwhistleofficial;rec_discovery_clp_rumah_tangga_984_outer_flow;563;https://www.tokopedia.com/morningwhistleofficial/handuk-morning-whistle-bamboo-towel-sunny-70-135cm-50-x-100cm-34-x-80cm-handuk-travel-handuk-olahraga-handuk-dewasa-serap-air-handuk-dewasa-besar-handuk-tebal-premium-1732780021983184851;https://www.tokopedia.com/morningwhistleofficial/handuk-morning-whistle-bamboo-towel-sunny-70-135cm-50-x-100cm-34-x-80cm-handuk-travel-handuk-olahraga-handuk-dewasa-serap-air-handuk-dewasa-besar-handuk-tebal-premium-1732780021983184851;15053759;TRUE
tokopedia://product/100588258596;;"[{""image_url"": ""https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/official_store/badge_os.png~tplv-zr7vqa5nfb-image.image"", ""title"": ""Benih Seribuan""}]";68056;1846155.0;1655;Rp2.000;TRUE;/discovery/clp_rumah tangga_984 - category_intermediary - #POSITION - nonlogin - product_card_revamp - - non topads - Rekomendasi_untukmu -  - #MEGA_TAB_VALUE;https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/c2684dd8cc0648918c1376000866c1c6~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=67a35ccb&x-expires=1765783379&x-signature=locwXmLI2ezL4%2FsiBTYd1itlbgo%3D&x-signature-webp=pA%2FkNqisfo4dLdj4RJgmJVfrAU0%3D;https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/c2684dd8cc0648918c1376000866c1c6~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=67a35ccb&x-expires=1765783379&x-signature=locwXmLI2ezL4%2FsiBTYd1itlbgo%3D&x-signature-webp=pA%2FkNqisfo4dLdj4RJgmJVfrAU0%3D;TRUE;FALSE;"[{""position"": ""ri_product_credibility"", ""title"": ""1jt+ terjual"", ""type"": """", ""url"": """"}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia-static.net/tos-alisg-i-zxty12jeln-sg/1a1a9cd24c9b5caae634820d21c316fd.png~tplv-zxty12jeln-image.image""}, {""position"": ""ri_ribbon"", ""title"": ""3%"", ""type"": ""red"", ""url"": """"}]";Benih Sayur Sayuran Benih Seribuan Varian Lengkap;4738739477;Rp1.950;1,01E+11;4.8;tokopedia://shop/216272;216272;Kab. Boyolali;https://www.tokopedia.com/benihbibitseribu;https://www.tokopedia.com/benihbibitseribu;rec_discovery_clp_rumah_tangga_984_outer_flow;662;https://www.tokopedia.com/benihbibitseribu/benih-sayur-sayuran-benih-seribuan-varian-lengkap-1729569252194683490;https://www.tokopedia.com/benihbibitseribu/benih-sayur-sayuran-benih-seribuan-varian-lengkap-1729569252194683490;296528;TRUE
tokopedia://product/100071495575;;"[{""image_url"": ""https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/official_store/badge_os.png~tplv-zr7vqa5nfb-image.image"", ""title"": ""U-Living Indonesia""}]";2643;61392.0;1368;Rp100.000;TRUE;/discovery/clp_rumah tangga_984 - category_intermediary - #POSITION - nonlogin - product_card_revamp - - non topads - Rekomendasi_untukmu -  - #MEGA_TAB_VALUE;https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/0f9f8b9db7a246ae821d4d380f2a9a06~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=67a35ccb&x-expires=1765783379&x-signature=ggcMsnj6eDWtkbs5UMWAckfev78%3D&x-signature-webp=jq6kumOJs3Arx5nG8kXes%2BNQY20%3D;https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/0f9f8b9db7a246ae821d4d380f2a9a06~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=67a35ccb&x-expires=1765783379&x-signature=ggcMsnj6eDWtkbs5UMWAckfev78%3D&x-signature-webp=jq6kumOJs3Arx5nG8kXes%2BNQY20%3D;TRUE;FALSE;"[{""position"": ""ri_product_credibility"", ""title"": ""50rb+ terjual"", ""type"": """", ""url"": """"}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia-static.net/tos-alisg-i-zxty12jeln-sg/1a1a9cd24c9b5caae634820d21c316fd.png~tplv-zxty12jeln-image.image""}, {""position"": ""ri_ribbon"", ""title"": ""52%"", ""type"": ""red"", ""url"": """"}]";U-Living Plastik Vacuum Kantong Pakaian Travel Transparan Anti-air Dipakai Berulang Klip Plastic;8581405040;Rp47.990;1,00E+11;4.9;tokopedia://shop/13962017;13962017;Kota Bekasi;https://www.tokopedia.com/ulivingindonesia;https://www.tokopedia.com/ulivingindonesia;rec_discovery_clp_rumah_tangga_984_outer_flow;30173;https://www.tokopedia.com/ulivingindonesia/u-living-plastik-vacuum-kantong-pakaian-travel-transparan-anti-air-dipakai-berulang-klip-plastic-1729634201329633287;https://www.tokopedia.com/ulivingindonesia/u-living-plastik-vacuum-kantong-pakaian-travel-transparan-anti-air-dipakai-berulang-klip-plastic-1729634201329633287;13846057;TRUE
tokopedia://product/16098710140;;"[{""image_url"": ""https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/goldmerchant/pm_activation/badge/Power%20Merchant%20Pro.png~tplv-zr7vqa5nfb-image.image"", ""title"": ""Kota Administrasi Jakarta Selatan""}]";3841;12189.0;1372;Rp48.000;TRUE;/discovery/clp_rumah tangga_984 - category_intermediary - #POSITION - nonlogin - product_card_revamp - - non topads - Rekomendasi_untukmu -  - #MEGA_TAB_VALUE;https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2025/1/22/4d1faf3a-c917-47c5-adec-ff627588a06b.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=67a35ccb&x-expires=1765783379&x-signature=ryNPc1XD1QEfV7isGPA3o1y5UkM%3D&x-signature-webp=Sf9sefhbON67HjF5mvn2%2BIkXaU4%3D;https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2025/1/22/4d1faf3a-c917-47c5-adec-ff627588a06b.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=67a35ccb&x-expires=1765783379&x-signature=ryNPc1XD1QEfV7isGPA3o1y5UkM%3D&x-signature-webp=Sf9sefhbON67HjF5mvn2%2BIkXaU4%3D;FALSE;FALSE;"[{""position"": ""ri_product_credibility"", ""title"": ""10rb+ terjual"", ""type"": """", ""url"": """"}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia-static.net/tos-alisg-i-zxty12jeln-sg/1a1a9cd24c9b5caae634820d21c316fd.png~tplv-zxty12jeln-image.image""}, {""position"": ""ri_ribbon"", ""title"": ""69%"", ""type"": ""red"", ""url"": """"}]";RoxArt Rak Sepatu 6/7/8/9Susun DIY Rak Sepatu Plastik Tempat Sepatu Hemat ruang Multi-lapis Organizer;16098710124;Rp14.749;16098710140;4.7;tokopedia://shop/18342252;18342252;Kota Administrasi Jakarta Selatan;https://www.tokopedia.com/roxart;https://www.tokopedia.com/roxart;rec_discovery_clp_rumah_tangga_984_outer_flow;645;https://www.tokopedia.com/roxart/roxart-rak-sepatu-6-7-8-9susun-diy-rak-sepatu-plastik-tempat-sepatu-hemat-ruang-multi-lapis-organizer-1730808827097286647;https://www.tokopedia.com/roxart/roxart-rak-sepatu-6-7-8-9susun-diy-rak-sepatu-plastik-tempat-sepatu-hemat-ruang-multi-lapis-organizer-1730808827097286647;18176720;TRUE
tokopedia://product/16092297754;;"[{""image_url"": ""https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/goldmerchant/pm_activation/badge/Power%20Merchant%20Pro.png~tplv-zr7vqa5nfb-image.image"", ""title"": ""Kota Administrasi Jakarta Barat""}]";2851;71278.0;3771;Rp15.400;TRUE;/discovery/clp_rumah tangga_984 - category_intermediary - #POSITION - nonlogin - product_card_revamp - - non topads - Rekomendasi_untukmu -  - #MEGA_TAB_VALUE;https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2025/1/21/f8491f69-4caa-49fd-b6b9-dfa4198436ad.png~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=67a35ccb&x-expires=1765783379&x-signature=OzWKAZkPxWJ49Pht1WY2jKMD0Zc%3D&x-signature-webp=Ue8gqzXOH1qHQOI8FbT6dC5R%2BqQ%3D;https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2025/1/21/f8491f69-4caa-49fd-b6b9-dfa4198436ad.png~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=67a35ccb&x-expires=1765783379&x-signature=OzWKAZkPxWJ49Pht1WY2jKMD0Zc%3D&x-signature-webp=Ue8gqzXOH1qHQOI8FbT6dC5R%2BqQ%3D;FALSE;FALSE;"[{""position"": ""ri_product_credibility"", ""title"": ""50rb+ terjual"", ""type"": """", ""url"": """"}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia-static.net/tos-alisg-i-zxty12jeln-sg/1a1a9cd24c9b5caae634820d21c316fd.png~tplv-zxty12jeln-image.image""}, {""position"": ""ri_ribbon"", ""title"": ""51%"", ""type"": ""red"", ""url"": """"}]";Kantong Plastik Sampah Hitam | Trash Bag Jumbo 20 Liter Uk. 40x50 | 40x60 | 50x75 | 60x100 | 80x100 | 90x100 | 90x120 | 100x90 | 120x180;16092297753;Rp7.600;16092297754;4.9;tokopedia://shop/18289104;18289104;Kota Administrasi Jakarta Barat;https://www.tokopedia.com/totebagsupplier;https://www.tokopedia.com/totebagsupplier;rec_discovery_clp_rumah_tangga_984_outer_flow;968421;https://www.tokopedia.com/totebagsupplier/kantong-plastik-sampah-hitam-trash-bag-jumbo-20-liter-uk-40x50-40x60-50x75-60x100-80x100-90x100-90x120-100x90-120x180-1730806093705610446;https://www.tokopedia.com/totebagsupplier/kantong-plastik-sampah-hitam-trash-bag-jumbo-20-liter-uk-40x50-40x60-50x75-60x100-80x100-90x100-90x120-100x90-120x180-1730806093705610446;18123365;TRUE
tokopedia://product/102334951156;;"[{""image_url"": ""https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/official_store/badge_os.png~tplv-zr7vqa5nfb-image.image"", ""title"": ""iSmile Indonesia""}]";2066;8973.0;1038;;TRUE;/discovery/clp_rumah tangga_984 - category_intermediary - #POSITION - nonlogin - product_card_revamp - - non topads - Rekomendasi_untukmu -  - #MEGA_TAB_VALUE;https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/fc46bfd108d3485c84029a609b0e96ac~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=67a35ccb&x-expires=1765783379&x-signature=Uxmcf97I7fvbzqfhX%2BLux06h1FQ%3D&x-signature-webp=XWyFKgJM2RXifipIyWslNi0Brno%3D;https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/fc46bfd108d3485c84029a609b0e96ac~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=67a35ccb&x-expires=1765783379&x-signature=Uxmcf97I7fvbzqfhX%2BLux06h1FQ%3D&x-signature-webp=XWyFKgJM2RXifipIyWslNi0Brno%3D;TRUE;FALSE;"[{""position"": ""ri_product_credibility"", ""title"": ""8rb+ terjual"", ""type"": """", ""url"": """"}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia-static.net/tos-alisg-i-zxty12jeln-sg/1a1a9cd24c9b5caae634820d21c316fd.png~tplv-zxty12jeln-image.image""}]";Bubble Wrap Untuk Tambahan Packing Barang Lebih Aman;0;Rp18.000;1,02E+11;5.0;tokopedia://shop/14610715;14610715;Kota Administrasi Jakarta Pusat;https://www.tokopedia.com/ismile-indonesia;https://www.tokopedia.com/ismile-indonesia;rec_discovery_clp_rumah_tangga_984_outer_flow;9983;https://www.tokopedia.com/ismile-indonesia/bubble-wrap-untuk-tambahan-packing-barang-lebih-aman-1732666677467842443;https://www.tokopedia.com/ismile-indonesia/bubble-wrap-untuk-tambahan-packing-barang-lebih-aman-1732666677467842443;14477558;TRUE
tokopedia://product/100199976021;;"[{""image_url"": ""https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/goldmerchant/pm_activation/badge/Power%20Merchant%20Pro.png~tplv-zr7vqa5nfb-image.image"", ""title"": ""Kab. Tangerang""}]";14200;87652.0;3792;Rp120.000;TRUE;/discovery/clp_rumah tangga_984 - category_intermediary - #POSITION - nonlogin - product_card_revamp - - non topads - Rekomendasi_untukmu -  - #MEGA_TAB_VALUE;https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/764a226da8f2423a8ce79e7bec129c1e~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=67a35ccb&x-expires=1765783379&x-signature=T7wfIpjGtw73tMkQxjEC9R%2BCxsg%3D&x-signature-webp=OanJ3tcmHDo4A6g4f%2FH50KlNta4%3D;https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/764a226da8f2423a8ce79e7bec129c1e~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=67a35ccb&x-expires=1765783379&x-signature=T7wfIpjGtw73tMkQxjEC9R%2BCxsg%3D&x-signature-webp=OanJ3tcmHDo4A6g4f%2FH50KlNta4%3D;FALSE;FALSE;"[{""position"": ""ri_product_credibility"", ""title"": ""50rb+ terjual"", ""type"": """", ""url"": """"}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia-static.net/tos-alisg-i-zxty12jeln-sg/1a1a9cd24c9b5caae634820d21c316fd.png~tplv-zxty12jeln-image.image""}, {""position"": ""ri_ribbon"", ""title"": ""59%"", ""type"": ""red"", ""url"": """"}]";Payung Besar Golf Jumbo Mewah Polos Rangka Fiber Anti UV Otomatis Jari Fiber Premium Quality;1,00E+11;Rp49.000;1,00E+11;4.9;tokopedia://shop/7494671269862213739;7,49E+18;Kab. Tangerang;https://www.tokopedia.com/lucky-store-2306;https://www.tokopedia.com/lucky-store-2306;rec_discovery_clp_rumah_tangga_984_outer_flow;8787;https://www.tokopedia.com/lucky-store-2306/payung-besar-golf-jumbo-mewah-polos-rangka-fiber-anti-uv-otomatis-jari-fiber-premium-quality-1729938264665852011;https://www.tokopedia.com/lucky-store-2306/payung-besar-golf-jumbo-mewah-polos-rangka-fiber-anti-uv-otomatis-jari-fiber-premium-quality-1729938264665852011;18458512;TRUE
tokopedia://product/7264023533;;"[{""image_url"": ""https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/official_store/badge_os.png~tplv-zr7vqa5nfb-image.image"", ""title"": ""Goto Living""}]";8837;24453.0;3792;Rp99.800;TRUE;/discovery/clp_rumah tangga_984 - category_intermediary - #POSITION - nonlogin - product_card_revamp - - non topads - Rekomendasi_untukmu -  - #MEGA_TAB_VALUE;https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/42931d36947043a599cd11ca45bf624d~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=67a35ccb&x-expires=1765783379&x-signature=nL8mS1OFtCo8e3bkgBKNpYacKJk%3D&x-signature-webp=1qjmboVb%2F2TfwZXIiJq1vgOH5d0%3D;https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/42931d36947043a599cd11ca45bf624d~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=67a35ccb&x-expires=1765783379&x-signature=nL8mS1OFtCo8e3bkgBKNpYacKJk%3D&x-signature-webp=1qjmboVb%2F2TfwZXIiJq1vgOH5d0%3D;TRUE;FALSE;"[{""position"": ""campaign"", ""title"": ""Beli Lokal"", ""type"": """", ""url"": ""https://images.tokopedia.net/img/phOWBv/2023/12/8/1a976501-81ee-4705-bea8-28ca5c54e8d6.png""}, {""position"": ""ri_product_credibility"", ""title"": ""10rb+ terjual"", ""type"": """", ""url"": """"}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia-static.net/tos-alisg-i-zxty12jeln-sg/1a1a9cd24c9b5caae634820d21c316fd.png~tplv-zxty12jeln-image.image""}, {""position"": ""overlay_3"", ""title"": ""Beli Lokal"", ""type"": """", ""url"": ""https://images.tokopedia.net/img/vMWOpN/2025/10/16/1e33b6b7-d4bb-4aed-a1af-ebb46043c369.png""}, {""position"": ""ri_ribbon"", ""title"": ""44%"", ""type"": ""red"", ""url"": """"}]";[COD] Goto Living X Jordi Onsu Reva Payung Lipat Umbrella Otomatis Polos Besar Anti UV Jumbo;7264023526;Rp56.100;7264023533;4.9;tokopedia://shop/832606;832606;Kota Tangerang;https://www.tokopedia.com/gotoliving;https://www.tokopedia.com/gotoliving;rec_discovery_clp_rumah_tangga_984_outer_flow;2593;https://www.tokopedia.com/gotoliving/goto-reva-payung-lipat-umbrella-otomatis-polos-besar-anti-uv-jumbo-black;https://www.tokopedia.com/gotoliving/goto-reva-payung-lipat-umbrella-otomatis-polos-besar-anti-uv-jumbo-black;442392;TRUE
tokopedia://product/100313953554;;"[{""image_url"": ""https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/goldmerchant/pm_activation/badge/Power%20Merchant%20Pro.png~tplv-zr7vqa5nfb-image.image"", ""title"": ""Kab. Tangerang""}]";8246;149314.0;1368;Rp20.000;TRUE;/discovery/clp_rumah tangga_984 - category_intermediary - #POSITION - nonlogin - product_card_revamp - - non topads - Rekomendasi_untukmu -  - #MEGA_TAB_VALUE;https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/de372c5dba394123b428d10505bb3a3c~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=67a35ccb&x-expires=1765783379&x-signature=PoxLm2BCtHTxAEYOG%2BkgjWl%2FUXY%3D&x-signature-webp=dirb2QW%2BZ%2FV6pOedLndP0Kz55yE%3D;https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/de372c5dba394123b428d10505bb3a3c~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=67a35ccb&x-expires=1765783379&x-signature=PoxLm2BCtHTxAEYOG%2BkgjWl%2FUXY%3D&x-signature-webp=dirb2QW%2BZ%2FV6pOedLndP0Kz55yE%3D;FALSE;FALSE;"[{""position"": ""ri_product_credibility"", ""title"": ""100rb+ terjual"", ""type"": """", ""url"": """"}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia-static.net/tos-alisg-i-zxty12jeln-sg/1a1a9cd24c9b5caae634820d21c316fd.png~tplv-zxty12jeln-image.image""}, {""position"": ""ri_ribbon"", ""title"": ""68%"", ""type"": ""red"", ""url"": """"}]";plastik vacum bag Vacum Bag Pakaian Plastik Perjalanan Tas Vakum Transparan Compression Bag Dapat Digunakan Kembali Tas Penyimpanan;1,00E+11;Rp6.499;1,00E+11;4.8;tokopedia://shop/7495659669759560263;7,50E+18;Kab. Tangerang;https://www.tokopedia.com/shounadai;https://www.tokopedia.com/shounadai;rec_discovery_clp_rumah_tangga_984_outer_flow;77593;https://www.tokopedia.com/shounadai/plastik-vacum-bag-vacum-bag-pakaian-plastik-perjalanan-tas-vakum-transparan-compression-bag-dapat-digunakan-kembali-tas-penyimpanan-1731088513117161031;https://www.tokopedia.com/shounadai/plastik-vacum-bag-vacum-bag-pakaian-plastik-perjalanan-tas-vakum-transparan-compression-bag-dapat-digunakan-kembali-tas-penyimpanan-1731088513117161031;18750243;TRUE
