id,name,url,category_breadcrumb,price_number,price_original,discountPercentage,mediaURL_image,ratingAverage,shop_id,shop_name,shop_url,shop_city,shop_tier,countSold,isTopAds,labelGroups,label_titles,totalRating,countReview
102656895056,Bakpia Pathok Jogja - Isi 12 - Rasa Original/Cokelat/keju Cemilan Halal Oleh Oleh Jogja,https://www.tokopedia.com/miliyanti-heksa-beana/bakpia-pathok-jogja-isi-12-rasa-original-cokelat-keju-cemilan-halal-oleh-oleh-jogja-1733465407680906950?extParam=ivf%3Dfalse%26keyword%3Dkhas+daerah%26search_id%3D20260121112743EDDEA82AD2755B1B8J5S%26src%3Dsearch,makanan-minuman/makanan-ringan/biskuit-wafer,7490,,0,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/5b81e406c5e34032a79cc40f2ee38801~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1768998464&x-signature=xi9eRuWduwnWsN03Iaec5JX5pPI%3D&x-signature-webp=0uWfgk1FPeXvGjLENlWf3Uz3Vf8%3D,4.6,7494272099710830278,Miliyanti heksa beana,https://www.tokopedia.com/miliyanti-heksa-beana,Bekasi,1,1000,False,"[{""position"": ""ri_product_credibility"", ""title"": ""1rb+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""ri_product_offer"", ""title"": ""Bisa COD"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#FF7F17"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp7.490"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""ri_product_offer_v2"", ""title"": ""Bisa COD"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""outline-color"", ""value"": ""#DFE2EA"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}, {""key"": ""text-color"", ""value"": ""#656C7B"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",1rb+ terjual | Bisa COD | Rp7.490 | Bisa COD,113,81
3214772042,ABC Terasi Udang 20x4.2gr,https://www.tokopedia.com/indragstn/abc-terasi-udang-20x4-2gr?extParam=ivf%3Dfalse%26keyword%3Dkhas+daerah%26search_id%3D20260121112743EDDEA82AD2755B1B8J5S%26src%3Dsearch,makanan-minuman/bumbu-bahan-masakan/terasi,12000,,0,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2022/3/13/863bca7d-1529-45b4-88f5-af9945323e2f.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1768998464&x-signature=KpnxHi1EbAYrM4PcYB0m0o6J8PU%3D&x-signature-webp=YGch4BlWVmBToNriiI9Bc26Qo58%3D,5.0,3555345,toko indra agustian,https://www.tokopedia.com/indragstn,Bandar Lampung,1,250,False,"[{""position"": ""ri_product_credibility"", ""title"": ""250+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""ri_product_offer"", ""title"": ""Bisa COD"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#FF7F17"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp12.000"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""ri_product_offer_v2"", ""title"": ""Bisa COD"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""outline-color"", ""value"": ""#DFE2EA"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}, {""key"": ""text-color"", ""value"": ""#656C7B"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",250+ terjual | Bisa COD | Rp12.000 | Bisa COD,72,5
102560331423,KUE PIA KHAS DAERAH GORONTALO 1 BOX,https://www.tokopedia.com/asvva-marisca-ngiu/kue-pia-khas-daerah-gorontalo-1-box-1733215993339020384?extParam=ivf%3Dfalse%26keyword%3Dkhas+daerah%26search_id%3D20260121112743EDDEA82AD2755B1B8J5S%26src%3Dsearch,makanan-minuman/makanan-ringan/biskuit-wafer,20000,,0,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/ff46171ac2c948ef93aa328db69c2bdd~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1768998464&x-signature=7E2fgyGp%2FNmd1xuyBHHiI2kpcDY%3D&x-signature-webp=Z7fderzRmnCFzg0xAYa%2B9hSt1KM%3D,0.0,7495177267539642464,Asvva Marisca Ngiu,https://www.tokopedia.com/asvva-marisca-ngiu,Gorontalo,1,1,False,"[{""position"": ""ri_product_credibility"", ""title"": ""1 terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""ri_product_offer"", ""title"": ""Bisa COD"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#FF7F17"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp20.000"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""ri_product_offer_v2"", ""title"": ""Bisa COD"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""outline-color"", ""value"": ""#DFE2EA"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}, {""key"": ""text-color"", ""value"": ""#656C7B"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",1 terjual | Bisa COD | Rp20.000 | Bisa COD,0,0
100211721842,OTOK OWO cemilan khas Sunda jawa barat manis gurih 250gram,https://www.tokopedia.com/unnaunii/otok-owo-cemilan-khas-sunda-jawa-barat-manis-gurih-250gram-1730403352020486068?extParam=ivf%3Dfalse%26keyword%3Dkhas+daerah%26search_id%3D20260121112743EDDEA82AD2755B1B8J5S%26src%3Dsearch,makanan-minuman/minuman/ready-to-drink-siap-minum,16000,Rp20.000,0,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/9afd57c1933246d5b0a82f45478b06a9~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1768998464&x-signature=zdS4YqyQX%2F7TOt5BcKF5v8g4vk0%3D&x-signature-webp=gAauOBhvFwzUygZ%2BhTvFhsE%2BZBw%3D,4.6,7495490497827408820,unna.unii,https://www.tokopedia.com/unnaunii,Banjar,1,1000,False,"[{""position"": ""ri_product_credibility"", ""title"": ""1rb+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""ri_product_offer"", ""title"": ""Bisa COD"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#FF7F17"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""ri_ribbon"", ""title"": ""20%"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""background-color"", ""value"": ""#E02954"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}, {""key"": ""text-color"", ""value"": ""#FFFFFF"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp16.000"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#D70C4B"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""ri_product_offer_v2"", ""title"": ""Bisa COD"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""outline-color"", ""value"": ""#DFE2EA"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}, {""key"": ""text-color"", ""value"": ""#656C7B"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",1rb+ terjual | Bisa COD | 20% | Rp16.000 | Bisa COD,104,70
100382066106,Dodol durian ( 1pcs 250grm  ) berkah mang abel,https://www.tokopedia.com/home-snack-rose/dodol-durian-1pcs-250grm-berkah-mang-abel-1730966170180945139?extParam=ivf%3Dfalse%26keyword%3Dkhas+daerah%26search_id%3D20260121112743EDDEA82AD2755B1B8J5S%26src%3Dsearch,makanan-minuman/makanan-jadi/makanan-instan-kaleng,21093,Rp23.700,0,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/26c9bfd195744d15ac37651bedf0c888~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1768998464&x-signature=iYzCyYpmt%2BoER4q44utHx62%2B%2F2M%3D&x-signature-webp=cvxEBgFu1CyZXIMU9nKiwjUTHnk%3D,4.7,7495953031555614963,Home snack rose,https://www.tokopedia.com/home-snack-rose,Kab. Tangerang,1,1000,False,"[{""position"": ""ri_product_credibility"", ""title"": ""1rb+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""ri_product_offer"", ""title"": ""Hemat s.d  1% Pakai Bonus"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#FF7F17"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""ri_ribbon"", ""title"": ""11%"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""background-color"", ""value"": ""#E02954"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}, {""key"": ""text-color"", ""value"": ""#FFFFFF"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp21.093"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#D70C4B"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""ri_product_offer_v2"", ""title"": ""Hemat s.d  1% Pakai Bonus"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""outline-color"", ""value"": ""#FFD9A8"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}, {""key"": ""text-color"", ""value"": ""#FF7F17"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""ri_product_offer_v2"", ""title"": ""Bisa COD"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""outline-color"", ""value"": ""#DFE2EA"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}, {""key"": ""text-color"", ""value"": ""#656C7B"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",1rb+ terjual | Hemat s.d  1% Pakai Bonus | 11% | Rp21.093 | Hemat s.d  1% Pakai Bonus | Bisa COD,159,109
100640699326,Jenang Hitam isi 40 berat 1kg,https://www.tokopedia.com/tami-oleh-oleh/jenang-hitam-isi-40-berat-1kg-1729603810942748677?extParam=ivf%3Dfalse%26keyword%3Dkhas+daerah%26search_id%3D20260121112743EDDEA82AD2755B1B8J5S%26src%3Dsearch,makanan-minuman/makanan-ringan/biskuit-wafer,53900,,0,https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/258366c3afc74295a713b27ba033a3b2~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=97278606&x-expires=1768998464&x-signature=bxSLNRrcupp09GXTvYP2tuIkk5g%3D&x-signature-webp=cIx1TMnN06AYZO958DY2NI3Q1Q8%3D,4.8,8406596,TAMI OLEH OLEH,https://www.tokopedia.com/tami-oleh-oleh,Kab. Sleman,3,10000,False,"[{""position"": ""ri_product_credibility"", ""title"": ""10rb+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""ri_product_offer"", ""title"": ""Bisa COD"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#FF7F17"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp53.900"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""ri_product_offer_v2"", ""title"": ""Bisa COD"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""outline-color"", ""value"": ""#DFE2EA"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}, {""key"": ""text-color"", ""value"": ""#656C7B"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",10rb+ terjual | Bisa COD | Rp53.900 | Bisa COD,1764,1626
102547154364,JUWARA SATOE [ 3 BOX ] PAKET BAKPIA BASAH KACANG HIJAU ISI 10 - OLEH-OLEH KHAS JOGJA,https://www.tokopedia.com/bakpia-juwara-satoe/juwara-satoe-3-box-paket-bakpia-basah-kacang-hijau-isi-10-oleh-oleh-khas-jogja-1733176285555164377?extParam=ivf%3Dfalse%26keyword%3Dkhas+daerah%26search_id%3D20260121112743EDDEA82AD2755B1B8J5S%26src%3Dsearch,makanan-minuman/kue/kue-basah,54999,Rp56.700,0,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/c0bffd2d181448728f44359d9e7bbc74~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1768998464&x-signature=W8xbgr8TfK%2FDpfsL1Hs4RKPGsFM%3D&x-signature-webp=3ytRrlmVF2gEEp%2FFEeRphN4v6no%3D,4.9,12807992,Juwara Satoe,https://www.tokopedia.com/bakpia-juwara-satoe,Kab. Sleman,2,2000,False,"[{""position"": ""ri_product_credibility"", ""title"": ""2rb+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_3"", ""title"": ""Beli Lokal"", ""type"": """", ""url"": ""https://images.tokopedia.net/img/vMWOpN/2025/10/16/1e33b6b7-d4bb-4aed-a1af-ebb46043c369.png"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""ri_product_offer"", ""title"": ""Hemat s.d  1% Pakai Bonus"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#FF7F17"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp54.999"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#D70C4B"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""ri_product_offer_v2"", ""title"": ""Hemat s.d  1% Pakai Bonus"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""outline-color"", ""value"": ""#FFD9A8"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}, {""key"": ""text-color"", ""value"": ""#FF7F17"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""ri_product_offer_v2"", ""title"": ""Bisa COD"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""outline-color"", ""value"": ""#DFE2EA"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}, {""key"": ""text-color"", ""value"": ""#656C7B"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",2rb+ terjual | Beli Lokal | Hemat s.d  1% Pakai Bonus | Rp54.999 | Hemat s.d  1% Pakai Bonus | Bisa COD,341,176
100062580134,JENANG KETAN | DODOL Gula jawa Asli 1kg |Manis Legit,https://www.tokopedia.com/rasa-tradisi-331/jenang-ketan-dodol-gula-jawa-asli-1kg-manis-legit-1729743689817097503?extParam=ivf%3Dfalse%26keyword%3Dkhas+daerah%26search_id%3D20260121112743EDDEA82AD2755B1B8J5S%26src%3Dsearch,makanan-minuman/makanan-ringan/permen,23900,Rp30.000,0,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/1fd8335943a9473fb42e0e1cb28e11cd~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1768998464&x-signature=b2E8iwW4khIWR2KPE7YUvrsgqmg%3D&x-signature-webp=2FRDJSD34uK4cDXf9rG5rQJbYrQ%3D,4.7,7494988053039057183,Rasa Tradisi_NEW,https://www.tokopedia.com/rasa-tradisi-331,Kab. Banjarnegara,3,50000,False,"[{""position"": ""ri_product_credibility"", ""title"": ""50rb+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""ri_product_offer"", ""title"": ""Hemat s.d  1% Pakai Bonus"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#FF7F17"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""ri_ribbon"", ""title"": ""20%"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""background-color"", ""value"": ""#E02954"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}, {""key"": ""text-color"", ""value"": ""#FFFFFF"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp23.900"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#D70C4B"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""ri_product_offer_v2"", ""title"": ""Hemat s.d  1% Pakai Bonus"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""outline-color"", ""value"": ""#FFD9A8"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}, {""key"": ""text-color"", ""value"": ""#FF7F17"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""ri_product_offer_v2"", ""title"": ""Bisa COD"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""outline-color"", ""value"": ""#DFE2EA"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}, {""key"": ""text-color"", ""value"": ""#656C7B"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",50rb+ terjual | Hemat s.d  1% Pakai Bonus | 20% | Rp23.900 | Hemat s.d  1% Pakai Bonus | Bisa COD,4229,2265
102069120582,RENGGINANG GUMUK SITUBONDO,https://www.tokopedia.com/rengginang-lintang-berkah/rengginang-gumuk-situbondo-1732161779405260289?extParam=ivf%3Dfalse%26keyword%3Dkhas+daerah%26search_id%3D20260121112743EDDEA82AD2755B1B8J5S%26src%3Dsearch,makanan-minuman/makanan-kering/kerupuk,23400,Rp30.000,0,https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/4dcd34c4a7e04be683103d5e5642405d~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1768998464&x-signature=Ed0AwKzb2fIWTLPsJydyaKWkNUM%3D&x-signature-webp=FS4n1HUIjWyM5EU0cBKaFXwB7fs%3D,4.7,7495181134808910337,RENGGINANG LINTANG BERKAH,https://www.tokopedia.com/rengginang-lintang-berkah,Kab. Situbondo,1,10000,False,"[{""position"": ""ri_product_credibility"", ""title"": ""10rb+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""ri_product_offer"", ""title"": ""Hemat s.d  1% Pakai Bonus"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#FF7F17"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""ri_ribbon"", ""title"": ""22%"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""background-color"", ""value"": ""#E02954"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}, {""key"": ""text-color"", ""value"": ""#FFFFFF"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp23.400"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#D70C4B"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""ri_product_offer_v2"", ""title"": ""Hemat s.d  1% Pakai Bonus"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""outline-color"", ""value"": ""#FFD9A8"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}, {""key"": ""text-color"", ""value"": ""#FF7F17"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""ri_product_offer_v2"", ""title"": ""Bisa COD"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""outline-color"", ""value"": ""#DFE2EA"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}, {""key"": ""text-color"", ""value"": ""#656C7B"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",10rb+ terjual | Hemat s.d  1% Pakai Bonus | 22% | Rp23.400 | Hemat s.d  1% Pakai Bonus | Bisa COD,5362,2025
100353827054,PAKET AMPLANG KEMASAN BOX KHAS BALIKPAPAN,https://www.tokopedia.com/cemilan-khas-balikpapan/paket-amplang-kemasan-box-khas-balikpapan-1730353965709166058?extParam=ivf%3Dfalse%26keyword%3Dkhas+daerah%26search_id%3D20260121112743EDDEA82AD2755B1B8J5S%26src%3Dsearch,makanan-minuman/minuman/ready-to-drink-siap-minum,79900,Rp85.000,0,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/33cfd15c29dd410699607249e3d164c7~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1768998464&x-signature=FzeG93Y4NbjNPTtJASaPj%2FW4tEw%3D&x-signature-webp=CNG3CfZmjUjYY683lsvX7NvrBH0%3D,4.9,7495578147332065770,Cemilan khas balikpapan,https://www.tokopedia.com/cemilan-khas-balikpapan,Balikpapan,1,100,False,"[{""position"": ""ri_product_credibility"", ""title"": ""100+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp79.900"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#D70C4B"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",100+ terjual | Rp79.900,22,19
