id,name,url,category_breadcrumb,price_number,mediaURL_image,ratingAverage,discountPercentage,shop_id,shop_name,shop_city,shop_tier,countSold,isTopAds,labelGroups,totalRating,countReview
102310286533,Baju Anak Perempuan Setelan Jersey Lengan Pendek & Celana Cargo Panjang Usia 1-12 Tahun Bahan Baby Terry Jersey Anak Perempuan Motif Karakter Kuromi,https://www.tokopedia.com/bajuanakgrosir02/baju-anak-perempuan-setelan-jersey-lengan-pendek-celana-cargo-panjang-usia-1-12-tahun-bahan-baby-terry-jersey-anak-perempuan-motif-karakter-kuromi-1732612422426330763?extParam=ivf%3Dfalse%26keyword%3Dpakaian+anak+cewek%26search_id%3D20251228134936CAF1A3DFB505FF24CD7C%26src%3Dsearch,fashion-anak-bayi/pakaian-anak-perempuan/setelan-anak-perempuan,55000,https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/1eea715875564521bc6e18f0233c7698~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1766933377&x-signature=MPPmLXccjvosF%2Fgp3b%2Bk%2FReh%2FE8%3D&x-signature-webp=PCtG7R5KIBzCUq0xNQ6rIPyhJKY%3D,4.7,0,7494083634557585035,bajuanakgrosir02,Kab. Bekasi,1,2000,False,"[{""position"": ""ri_product_credibility"", ""title"": ""2rb+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp55.000"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",267,116
100703067825,Promo setelan jeans anak perempuan motif bunga umur 1-5 tahun //setelan anak cewek import 2025 //outfit cewek kece,https://www.tokopedia.com/fajar-garmen17/promo-setelan-jeans-anak-perempuan-motif-bunga-umur-1-5-tahun-setelan-anak-cewek-import-2025-outfit-cewek-kece-1731834336913491961?extParam=ivf%3Dfalse%26keyword%3Dpakaian+anak+cewek%26search_id%3D20251228134936CAF1A3DFB505FF24CD7C%26src%3Dsearch,fashion-anak-bayi/pakaian-anak-perempuan/setelan-anak-perempuan,58702,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/851e55b32a5641ca8541fdc00c1af8a0~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1766933377&x-signature=QEUQo9DhZilNOp%2BC2xNz8%2BoDY7s%3D&x-signature-webp=4jjl%2BzcIf8d07W4tERvPa8c0%2FnM%3D,4.7,0,7495021575190842361,fajar garmen17,Kab. Bekasi,3,1000,False,"[{""position"": ""ri_product_credibility"", ""title"": ""1rb+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp58.702"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",167,89
102412817112,Setelan Anak Perempuan Kombinasi Kringkel dan Katun Salur untuk Usia 2 hingga 12 Tahun Cewek,https://www.tokopedia.com/suntana-online/setelan-anak-perempuan-kombinasi-kringkel-dan-katun-salur-untuk-usia-2-hingga-12-tahun-cewek-1732854195251676485?extParam=ivf%3Dfalse%26keyword%3Dpakaian+anak+cewek%26search_id%3D20251228134936CAF1A3DFB505FF24CD7C%26src%3Dsearch,fashion-anak-bayi/pakaian-anak-perempuan/setelan-anak-perempuan,33800,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/6ef8d6ecefdc49a9adb380daa2bff16c~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1766933377&x-signature=RR4M%2BmGpVnCTR7WPrkN6aL0ZpmQ%3D&x-signature-webp=mNMfe256GRaX8A6ItfDDw9Ebi1k%3D,4.8,0,7496190758327650629,suntana online,Kab. Bandung,1,1000,False,"[{""position"": ""ri_product_credibility"", ""title"": ""1rb+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp33.800"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",226,128
102405978130,BAJU SETELAN BALLERINA CAPPUCINA 28 GAMBAR DTF TAHAN LAMA,https://www.tokopedia.com/junior-fashion-88/baju-setelan-ballerina-cappucina-28-gambar-dtf-tahan-lama-1732838651432895849?extParam=ivf%3Dfalse%26keyword%3Dpakaian+anak+cewek%26search_id%3D20251228134936CAF1A3DFB505FF24CD7C%26src%3Dsearch,fashion-anak-bayi/pakaian-anak-perempuan/setelan-anak-perempuan,15035,https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/8019c55f1d45431aa775efb2c402795f~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1766933377&x-signature=r%2FAlPy28ellIc9OnMZEMR8w%2Fcxo%3D&x-signature-webp=fkBpSV7dY%2FaxbjzJHHn6%2F1%2FzOYM%3D,4.5,0,7494155460148823401,JUNIOR FASHION 88,Jakarta Barat,1,2000,False,"[{""position"": ""ri_product_credibility"", ""title"": ""2rb+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp15.035"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",258,161
102370342778,SETELAN ANAK PEREMPUAN 3- 12  TAHUN | CAT SIDE | CELANA CARGO PP SALUR BAHAN KATUN VISTA TERY,https://www.tokopedia.com/jo2fashion/setelan-anak-perempuan-3-12-tahun-cat-side-celana-cargo-pp-salur-bahan-katun-vista-tery-1732746059658921444?extParam=ivf%3Dfalse%26keyword%3Dpakaian+anak+cewek%26search_id%3D20251228134936CAF1A3DFB505FF24CD7C%26src%3Dsearch,fashion-anak-bayi/pakaian-anak-perempuan/setelan-anak-perempuan,33000,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/fdab28fa0467484c9e1f8abb6e7c2433~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1766933377&x-signature=525IV7sbrRYo6gagPbxuwzXy2Lo%3D&x-signature-webp=uPapZQBz%2BJeEj8Ua5CJwKvU14G0%3D,4.7,0,7496038048536431076,jo2fashion,Serang,1,2000,False,"[{""position"": ""ri_product_credibility"", ""title"": ""2rb+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp33.000"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",447,223
102246007091,Setelan Kaos Gradasi Anak Perempuan Set Celana Panjang Anak Cewe Usia 1 - 12 Tahun,https://www.tokopedia.com/chapatitokids/setelan-kaos-gradasi-anak-perempuan-set-celana-panjang-anak-cewe-usia-1-12-tahun-1732495121594549708?extParam=ivf%3Dfalse%26keyword%3Dpakaian+anak+cewek%26search_id%3D20251228134936CAF1A3DFB505FF24CD7C%26src%3Dsearch,fashion-anak-bayi/pakaian-anak-perempuan/setelan-anak-perempuan,72800,https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/599ecf471fc9450bb3dfd097b9c92240~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1766933377&x-signature=DKAksBWMVPxmsDdx%2BifokcpcR5Y%3D&x-signature-webp=a%2F4lvcVGz9KjJ8XAm6gmr0mi%2F0k%3D,4.8,0,7494089104770106828,chapatito.kids,Kab. Bandung,3,500,False,"[{""position"": ""ri_product_credibility"", ""title"": ""500+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp72.800"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",80,55
100563426276,baju Setelan kaos anak perempuan model gradasi usia 1 - 12 tahun,https://www.tokopedia.com/arvind-kids/baju-setelan-kaos-anak-perempuan-model-gradasi-usia-1-12-tahun-1731584935167362377?extParam=ivf%3Dfalse%26keyword%3Dpakaian+anak+cewek%26search_id%3D20251228134936CAF1A3DFB505FF24CD7C%26src%3Dsearch,fashion-anak-bayi/pakaian-anak-perempuan/setelan-anak-perempuan,55738,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/c6c50d64002b44efa0ab763ac8349ad0~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1766933377&x-signature=Suby5w30kmCbykjrQGy1ynvtrrc%3D&x-signature-webp=8hWtBC10vAC4zsHNyi3Ca3qPaVY%3D,4.4,0,7496203199635229001,arvind kids,Kab. Bandung,1,1000,False,"[{""position"": ""ri_product_credibility"", ""title"": ""1rb+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp55.738"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",175,86
102546832082,Baju Setelan Joger Anak Perempuan 1-10 th Celana Joger dan Kaos Oblong JASMINE PITA Anak-Anak,https://www.tokopedia.com/gudang-fashion-remaja/baju-setelan-joger-anak-perempuan-1-10-th-celana-joger-dan-kaos-oblong-jasmine-pita-anak-anak-1733175333926635107?extParam=ivf%3Dfalse%26keyword%3Dpakaian+anak+cewek%26search_id%3D20251228134936CAF1A3DFB505FF24CD7C%26src%3Dsearch,fashion-anak-bayi/pakaian-anak-perempuan/setelan-anak-perempuan,29500,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/73d90f3dbdb9492f9daab4317e53fad6~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1766933377&x-signature=SYshiGGc1u1qTt%2BG%2F51dzq51ym0%3D&x-signature-webp=7Ms33fIk7MMAa1gpB30mtAbwBjU%3D,4.6,0,7494897041611786851,GUDANG FASHION REMAJA_NEW,Jakarta Barat,3,750,False,"[{""position"": ""ri_product_credibility"", ""title"": ""750+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp29.500"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",104,79
102542330408,Set Rok Anak Perempuan  Motif  Kuromi Bahan Crinkle Airflow  dan Katun Salur Usia 4-12 Tahun Setelan muslim style Nyaman,https://www.tokopedia.com/ceria-nurazzahracollections/set-rok-anak-perempuan-motif-kuromi-bahan-crinkle-airflow-dan-katun-salur-usia-4-12-tahun-setelan-muslim-style-nyaman-1733145822907958455?extParam=ivf%3Dfalse%26keyword%3Dpakaian+anak+cewek%26search_id%3D20251228134936CAF1A3DFB505FF24CD7C%26src%3Dsearch,fashion-anak-bayi/pakaian-anak-perempuan/setelan-anak-perempuan,60900,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/90e2d9f69822461382d55343fec8e927~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1766933377&x-signature=NKQN%2FFbkqT9v3nXaguQX%2FB2N9cw%3D&x-signature-webp=FYW48w48hFhRArmGkaMsl8vDwAI%3D,4.7,0,7495524931681880247,CERIA NUR'AZZAHRACOLLECTIONS,Kab. Bandung,1,250,False,"[{""position"": ""ri_product_credibility"", ""title"": ""250+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp60.900"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",69,57
100555169060,stelan anak terbaru+ stelan lekbong+stelan mewah+stelan nyaman di pakai,https://www.tokopedia.com/amara-pashion/stelan-anak-terbaru-stelan-lekbong-stelan-mewah-stelan-nyaman-di-pakai-1731562458305431454?extParam=ivf%3Dfalse%26keyword%3Dpakaian+anak+cewek%26search_id%3D20251228134936CAF1A3DFB505FF24CD7C%26src%3Dsearch,fashion-anak-bayi/pakaian-anak-perempuan/setelan-anak-perempuan,52500,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/77af8a00e3504da08e7698597a0d9ff7~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1766933377&x-signature=FBxehMauZK4yqTkQd2fZ7NuRGhY%3D&x-signature-webp=k95mwGUMMU3eXZ7Rd78JH8%2Fjui8%3D,4.6,0,7496012711351847838,amara pashion,Kab. Bandung Barat,1,80,False,"[{""position"": ""ri_product_credibility"", ""title"": ""80+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp52.500"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",15,15
