id,name,url,category_breadcrumb,price_number,mediaURL_image,ratingAverage,discountPercentage,shop_id,shop_name,shop_city,shop_tier,countSold,isTopAds,labelGroups,totalRating,countReview
102662116193,"Latimojong Sulawesi Natural Mosto ""Bright & Juicy"", Tenun Coffee Roasters, Filter Coffee/Biji Kopi - 200gr",https://www.tokopedia.com/archive-tenuncoffee-1665706251/latimojong-sulawesi-natural-mosto-bright-juicy-tenun-coffee-roasters-filter-coffee-biji-kopi-200gr-1733474669258901298?extParam=ivf%3Dfalse%26keyword%3Dtenun%26search_id%3D202512300630072F2B265625D76A208LBS%26src%3Dsearch,makanan-minuman/minuman/kopi,150000,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/bcc370d141884473b532b5a30f676ca8~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1767079808&x-signature=p6sW5HzenOaDgIQiJ67psKeuNIM%3D&x-signature-webp=LIVTI%2FRr5JLZxy8sphlUIP4M7%2B0%3D,5.0,0,7198257,Tenun Coffee Roasters,Bogor,3,18.0,False,"[{""position"": ""ri_product_credibility"", ""title"": ""18 terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp150.000"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",4,2
100536650031,OUTER PRIA TENUN ETNIK TORAJA Dewasa,https://www.tokopedia.com/baju-nyaman-etnik/outer-pria-tenun-etnik-toraja-dewasa-1731517994909992016?extParam=ivf%3Dfalse%26keyword%3Dtenun%26search_id%3D202512300630072F2B265625D76A208LBS%26src%3Dsearch,fashion-pria/batik-pria/kemeja-batik-pria,145000,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/bc5a04ae4688422badfe2be0eb2c7087~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1767079808&x-signature=j9PM5L4wOK9%2Fczd04B55Zg5cVNc%3D&x-signature-webp=rgJIFjCZXtN6M8zy722nRYOVqHI%3D,5.0,0,7496121826114701392,BAJU NYAMAN ETNIK,Kab. Jepara,1,30.0,False,"[{""position"": ""ri_product_credibility"", ""title"": ""30+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp145.000"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",6,2
102353766289,Blus Batwing Wanita kekinian Modis Bahan Tenun Blanket All Size - Atasan Wanita Kekinian Oversize,https://www.tokopedia.com/rok-tenun-indonesia/blus-batwing-wanita-kekinian-modis-bahan-tenun-blanket-all-size-atasan-wanita-kekinian-oversize-1732714913261454573?extParam=ivf%3Dfalse%26keyword%3Dtenun%26search_id%3D202512300630072F2B265625D76A208LBS%26src%3Dsearch,fashion-wanita/atasan-wanita/blouse-wanita,95200,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/6da32eb2283d44b4806fd87cdce09cd0~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1767079808&x-signature=uo67UouPHZ90rqqvDIKFOYoIEBI%3D&x-signature-webp=er7jr2CF7vjrVAH%2BdVYrNe%2FEbLk%3D,4.9,0,7494432986545096941,ROK TENUN INDONESIA,Kab. Jepara,3,90.0,False,"[{""position"": ""ri_product_credibility"", ""title"": ""90+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp95.200"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",14,13
1859176593,setelan tenun kulot gombyor,https://www.tokopedia.com/bajudankaintenun/setelan-tenun-kulot-gombyor-xxxxl?extParam=ivf%3Dfalse%26keyword%3Dtenun%26search_id%3D202512300630072F2B265625D76A208LBS%26src%3Dsearch,kesehatan/perlengkapan-medis/seragam-medis,389000,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2021/5/24/f5ab0611-8cd4-451c-989d-ee1f80271633.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1767079808&x-signature=uqhPaJnEj%2FjJU3YHpfujE6Czkyk%3D&x-signature-webp=TeZObi3SFmNdBD00aMzUnSDWs50%3D,4.8,0,1752026,Baju dan kain tenun,Kab. Jepara,1,40.0,False,"[{""position"": ""ri_product_credibility"", ""title"": ""40+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""preventive_overlay"", ""title"": ""PreOrder"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""background-color"", ""value"": ""#000000"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}, {""key"": ""background-opacity"", ""value"": ""0.5"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}, {""key"": ""text-color"", ""value"": ""#FFFFFF"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp389.000"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",24,5
16084718333,[NEW ARRIVAL] KEMEJA SONGKET PRIA LENGAN PANJANG TENUN BARON 2 DIMENSI Code 001,https://www.tokopedia.com/aida-tenun/new-arrival-kemeja-songket-pria-lengan-panjang-tenun-baron-2-dimensi-code-001-1730802875089847719?extParam=ivf%3Dfalse%26keyword%3Dtenun%26search_id%3D202512300630072F2B265625D76A208LBS%26src%3Dsearch,fashion-pria/atasan-pria/kemeja-pria,289999,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2025/1/20/e34b8fea-45ff-4425-b296-36e82688a67e.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1767079808&x-signature=M%2BgXXEgSrs1OpZO97UIXEpfT32w%3D&x-signature-webp=d93U%2FRA9T3N9FWlKTSq5h7k93gc%3D,4.9,0,14208311,Aida Tenun,Kab. Jepara,1,29.0,False,"[{""position"": ""ri_product_credibility"", ""title"": ""29 terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""preventive_overlay"", ""title"": ""PreOrder"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""background-color"", ""value"": ""#000000"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}, {""key"": ""background-opacity"", ""value"": ""0.5"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}, {""key"": ""text-color"", ""value"": ""#FFFFFF"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp289.999"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",7,3
557352043,Kain Tenun Blangket Ethnic Motif Tebal Toraja Merah,https://www.tokopedia.com/ikatethnicstore/kain-tenun-blangket-ethnic-motif-tebal-toraja-merah?extParam=ivf%3Dfalse%26keyword%3Dtenun%26search_id%3D202512300630072F2B265625D76A208LBS%26src%3Dsearch,fashion-wanita/batik-wanita/kain-tenun,81500,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2020/7/10/19cdc314-b95a-4d06-96de-9c994ef1640a.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1767079808&x-signature=u6pXiQIlQcmd0BA%2BMKou%2FBt5rnI%3D&x-signature-webp=aUPtvp6Wvm1DrgnbmDtGEXiGWjs%3D,4.9,0,2450712,Ikat Ethnic fashion,Kab. Jepara,1,250.0,False,"[{""position"": ""ri_product_credibility"", ""title"": ""250+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp81.500"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",188,43
100065446335,Ikat Kepala Tenun Ready Bos (Siap Langsung Kirim Hari ini),https://www.tokopedia.com/ikat-kepala/ikat-kepala-tenun-ready-bos-siap-langsung-kirim-hari-ini-1729577478222088598?extParam=ivf%3Dfalse%26keyword%3Dtenun%26search_id%3D202512300630072F2B265625D76A208LBS%26src%3Dsearch,fashion-muslim/aksesoris-muslim/headpiece-jilbab,17000,https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/cb79cc9920054d2986b366f8fca5a550~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=97278606&x-expires=1767079808&x-signature=Y%2F7FCbihLlgDv9nmKKYqvgRcums%3D&x-signature-webp=A68h5xG%2BeYMYOsoawHNl%2BDVL03I%3D,4.8,0,7494874599264913814,Ikat Kepala,Kab. Jepara,1,6000.0,False,"[{""position"": ""ri_product_credibility"", ""title"": ""6rb+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp17.000"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",394,172
16273905994,Bandhu Raya Edition Kemeja Tenun - Abhinaya (PO),https://www.tokopedia.com/bandhuofficial/bandhu-raya-edition-kemeja-tenun-abhinaya-po-1730880163611510359?extParam=ivf%3Dfalse%26keyword%3Dtenun%26search_id%3D202512300630072F2B265625D76A208LBS%26src%3Dsearch,fashion-pria/atasan-pria/kemeja-pria,1000000,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2025/2/18/375665bd-8794-4ba9-a6b8-69a72dda371e.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1767079808&x-signature=wGR4EKQV26%2Bw9r9mDg56JIQZ8OI%3D&x-signature-webp=ojX0i7ydiiWfXDE2qEiBFfKRGqY%3D,5.0,0,18348849,Bandhu Official,Jakarta Selatan,3,6.0,False,"[{""position"": ""ri_product_credibility"", ""title"": ""6 terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""preventive_overlay"", ""title"": ""PreOrder"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""background-color"", ""value"": ""#000000"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}, {""key"": ""background-opacity"", ""value"": ""0.5"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}, {""key"": ""text-color"", ""value"": ""#FFFFFF"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp1.000.000"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",4,0
100002785246,Kain Tenun Ikat Troso Ethnic Motif Nusantara ATBM Tenun Troso Jepara Etnik Bahan Baju Pria Wanita Motif Dayak Kalimantan Toraja Sulawesi Nusa Tenggara,https://www.tokopedia.com/azstoreshop/kain-tenun-ikat-troso-ethnic-motif-nusantara-atbm-tenun-troso-jepara-etnik-bahan-baju-pria-wanita-motif-dayak-kalimantan-toraja-sulawesi-nusa-tenggara-1730554721824048451?extParam=ivf%3Dfalse%26keyword%3Dtenun%26search_id%3D202512300630072F2B265625D76A208LBS%26src%3Dsearch,fashion-wanita/batik-wanita/kain-batik,95200,https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/3bcb79a25a7345ec89076fdb42e2e636~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=97278606&x-expires=1767079808&x-signature=esv06OsOj6%2BK3piSWSMwplXxMTM%3D&x-signature-webp=cbc0epBPp%2Ftd4rscVTw4bVmi3L0%3D,5.0,0,7494418717793814851,AZSTORESHOP,Kab. Jepara,3,250.0,False,"[{""position"": ""ri_product_credibility"", ""title"": ""250+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp95.200"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",41,32
100004162223,Kaftan Tenun Wanita Mix Lurik Tenun - Kaftan Jumbo Wanita - Kaftan Tenun Panjang Bunga Kuning,https://www.tokopedia.com/rok-tenun-indonesia/kaftan-tenun-wanita-mix-lurik-tenun-kaftan-jumbo-wanita-kaftan-tenun-panjang-bunga-kuning-1729871733178534125?extParam=ivf%3Dfalse%26keyword%3Dtenun%26search_id%3D202512300630072F2B265625D76A208LBS%26src%3Dsearch,fashion-muslim/dress-muslim-wanita/kaftan,134400,https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/7e2533f4f73343bdabe85567cd22967f~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=97278606&x-expires=1767079808&x-signature=5vXBZY2t71l72IbiYzBHoj2DOzQ%3D&x-signature-webp=5kZlKPt7GhmzmbRl%2B0i3QL%2Brk8Q%3D,4.8,0,7494432986545096941,ROK TENUN INDONESIA,Kab. Jepara,3,2000.0,False,"[{""position"": ""ri_product_credibility"", ""title"": ""2rb+ terjual"", ""type"": """", ""url"": """", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""overlay_1"", ""title"": ""Campaign"", ""type"": """", ""url"": ""https://p16-uploadpedia-sg.tokopedia.net/tos-alisg-i-zxty12jeln-sg/123.png~tplv-zxty12jeln-image.image"", ""styles"": [], ""__typename"": ""SearchProductV5LabelGroups""}, {""position"": ""final_price"", ""title"": ""Rp134.400"", ""type"": """", ""url"": """", ""styles"": [{""key"": ""text-color"", ""value"": ""#080808"", ""__typename"": ""SearchProductV5LabelGroupsStyle""}], ""__typename"": ""SearchProductV5LabelGroups""}]",363,170
